CardLabel1,CardLabel2,TimeStamp
つけます,打開(電視、冷氣等),0
けします,關掉(電視、冷氣等),0
あけます,打開(門、窗等),0
しめます,關閉(門、窗等),0
いそぎます,趕快，緊急,0
まちます,等待,0
とめます,停止，停車,0
まがります,轉向,0
もちます,持有，攜帶,0
とります,拿，持,0
てつだいます,幫忙，幫助,0
よびます,呼叫，呼喚,0
はなします,講，說,0
みせます,出示，讓人看,0
おしえます,告訴[地址],0
はじめます,開始,0
ふります,下[雨],0
コピします,影印,0
エアコン,冷暖氣機、空調機,0
パスポート,護照,0
